University_name,City,State,University_link,Tuition_Fees_Domestic,Type_of_Institution,Undergraduate_Population,Acceptance_Rate,Average_SAT_ACT_Score,Ranking_National,Graduation_Rate,Percentage_of_International_Students
New Beginning College of Cosmetology,Albertville,AL,www.nbccosmetology.com/,27847,Public,11123,96.24413618,864,5894,71.29980303,1.944028726
George C Wallace Community College-Dothan,Dothan,AL,www.wallace.edu/,36760,Private,10084,97.85673679,1050,3504,68.39574019,18.70700128
George C Wallace State Community College-Hanceville,Hanceville,AL,https://www.wallacestate.edu/,14543,Private,23652,30.34952683,1190,2007,68.79585079,15.68863408
George C Wallace State Community College-Selma,Selma,AL,https://www.wccs.edu/,43425,Public,38685,25.47086726,1049,558,51.20328107,20.37694512
Herzing University-Birmingham,Birmingham,AL,https://www.herzing.edu/,19004,Public,3013,70.78150877,1234,5916,60.70506261,11.30956796
Huntingdon College,Montgomery,AL,www.huntingdon.edu/,37833,Public,25318,81.79590914,854,5661,50.2257704,5.315616529
Heritage Christian University,Florence,AL,www.hcu.edu/,8685,Private,33948,30.64590918,1213,2161,80.0221444,6.963738543
J. F. Drake State Community and Technical College,Huntsville,AL,https://www.drakestate.edu/,16981,Public,3300,33.03388443,1316,480,70.10570872,9.473369014
J F Ingram State Technical College,Deatsville,AL,www.istc.edu/,19602,Private,31802,21.35389152,1055,4939,88.41830698,20.58239321
Jacksonville State University,Jacksonville,AL,www.jsu.edu/,47922,Private,17458,55.89078884,1094,3368,52.1715817,8.981632913
Jefferson State Community College,Birmingham,AL,www.jeffersonstate.edu/,17247,Public,15924,9.984052546,1255,2077,93.04380495,14.57984303
John C Calhoun State Community College,Tanner,AL,https://calhoun.edu/,16944,Public,16403,50.304609,828,2046,52.05780882,7.345334988
Lawson State Community College,Birmingham,AL,www.lawsonstate.edu/,36328,Public,25447,73.61515158,1419,110,51.36462687,7.606843062
University of West Alabama,Livingston,AL,www.uwa.edu/,28540,Public,2242,89.46909793,1332,4135,55.60314641,3.931736836
Lurleen B Wallace Community College,Andalusia,AL,https://www.lbwcc.edu/,38842,Private,14090,30.50061082,1208,1152,74.42043031,13.65729491
Marion Military Institute,Marion,AL,www.marionmilitary.edu/,23117,Public,18213,57.10689547,1062,2184,81.82695902,12.89840924
Miles College,Fairfield,AL,www.miles.edu/,25273,Private,10726,44.17583352,1481,1647,65.70372412,16.81386032
University of Mobile,Mobile,AL,www.umobile.edu/,24957,Private,24466,47.34187445,1534,4106,84.50132446,19.6861859
University of Montevallo,Montevallo,AL,www.montevallo.edu/,33573,Private,32202,15.81336185,937,1769,65.12063877,15.6176284
Northwest-Shoals Community College,Muscle Shoals,AL,https://www.nwscc.edu/,38621,Private,4386,61.13366583,962,518,88.40212366,13.31503678
University of North Alabama,Florence,AL,www.una.edu/,43017,Public,29306,52.522323,1018,5571,96.84105906,15.19221494
Northeast Alabama Community College,Rainsville,AL,https://www.nacc.edu/,48734,Private,11818,95.75362825,1148,5030,58.70953719,7.7292056
Oakwood University,Huntsville,AL,https://www2.oakwood.edu/,16238,Public,13611,95.14514079,1353,4694,57.36471842,16.20748582
Reid State Technical College,Evergreen,AL,www.rstc.edu/,36048,Public,36132,81.89256726,857,1657,67.23855714,24.65185781
Bishop State Community College,Mobile,AL,www.bishop.edu/,41690,Private,1913,57.9210898,1328,5442,88.55964174,5.779228901
Samford University,Birmingham,AL,www.samford.edu/,12445,Public,7067,27.77550136,1289,5179,74.21469877,22.81240108
Selma University,Selma,AL,https://selmauniversity.edu/,19764,Public,30895,37.23145308,1156,3050,53.95266037,18.0986894
Shelton State Community College,Tuscaloosa,AL,www.sheltonstate.edu/,25360,Private,20235,81.56540208,1013,1084,52.85554544,19.06483616
Snead State Community College,Boaz,AL,www.snead.edu/,38449,Public,17586,57.38572481,1411,4712,84.14392624,7.648253452
University of South Alabama,Mobile,AL,www.southalabama.edu/,5803,Public,31980,57.55361495,975,5141,56.12547359,22.81356058
Spring Hill College,Mobile,AL,https://www.shc.edu/,46021,Private,4270,79.44260678,1094,800,51.09964309,17.04746113
Stillman College,Tuscaloosa,AL,https://stillman.edu/,49850,Private,26842,72.06534428,1080,5574,83.93044217,16.90970033
Talladega College,Talladega,AL,www.talladega.edu/,43346,Public,21008,41.86975416,1062,4919,68.98448027,14.13122268
H Councill Trenholm State Community College,Montgomery,AL,www.trenholmstate.edu/,5368,Public,21304,79.34261568,925,2045,96.27569051,8.289712295
Troy University,Troy,AL,www.troy.edu/,38979,Public,4315,51.10755179,891,4003,84.31465492,16.94213437
Tuskegee University,Tuskegee,AL,www.tuskegee.edu/,36436,Public,1650,44.92560774,988,6380,52.7418393,5.26560265
United States Sports Academy,Daphne,AL,www.ussa.edu/,7301,Public,3551,15.09257309,1057,2689,77.04084895,17.30421411
Bevill State Community College,Jasper,AL,www.bscc.edu/,9590,Public,34011,79.48312865,1343,5830,58.20331424,3.029931593
University of Alaska Anchorage,Anchorage,AK,www.uaa.alaska.edu/,28861,Public,32297,99.414989,1582,2271,58.11207138,0.682653958
Alaska Bible College,Palmer,AK,www.akbible.edu/,8640,Public,36530,18.5562712,1148,6133,93.97901137,19.16283196
University of Alaska Fairbanks,Fairbanks,AK,www.uaf.edu/,25000,Private,34202,80.7914192,1267,2947,52.08082746,22.48188649
University of Alaska Southeast,Juneau,AK,www.uas.alaska.edu/,36709,Public,3277,86.74431005,991,1904,77.41771824,19.09126813
Alaska Pacific University,Anchorage,AK,www.alaskapacific.edu/,29424,Public,4986,80.77872054,1434,3289,59.54705404,9.05288785
Alaska Vocational Technical Center,Seward,AK,www.avtec.edu/,29605,Public,11277,74.71721783,826,2919,96.91742427,21.97610537
Charter College,Vancouver,WA,https://chartercollege.edu/,19992,Public,26883,47.31837561,1515,4688,71.4730399,21.21443143
Alaska Career College,Anchorage,AK,www.alaskacareercollege.edu/,49720,Public,14392,72.71277799,808,4021,68.97518142,2.480823832
Empire Beauty School-Tucson,Tucson,AZ,www.empire.edu/,13884,Private,7782,32.4962727,1543,1285,82.60831157,11.86170739
Carrington College-Phoenix North,Phoenix,AZ,https://carrington.edu/,37453,Private,28530,59.08812085,1583,838,92.02388218,17.73509491
Carrington College-Mesa,Mesa,AZ,https://carrington.edu/,49444,Public,11481,78.15242488,1144,989,85.34338737,16.23803188
Carrington College-Tucson,Tucson,AZ,https://carrington.edu/,18369,Private,23377,41.55127276,1102,4205,77.41355886,4.314910265
Arizona Academy of Beauty,Tucson,AZ,www.arizonaacademy.com/,11350,Public,5932,19.97758319,973,3103,90.76986008,7.433545077
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,www.aai.edu/,6906,Private,9587,46.84760858,993,5686,86.36292532,15.6572097
Brookline College-Phoenix,Phoenix,AZ,www.brooklinecollege.edu/,36553,Public,21088,83.41179814,1510,5785,59.93756666,14.22413038
Arizona State University Campus Immersion,Tempe,AZ,www.asu.edu/,36730,Private,19011,28.68999677,1370,3605,93.43830084,12.51254031
Arizona Western College,Yuma,AZ,https://www.azwestern.edu/,26392,Public,25468,88.74733538,1109,3921,89.68563699,20.10486157
University of Arizona,Tucson,AZ,https://www.arizona.edu/,35778,Private,2926,64.77637695,1283,2072,89.81436241,13.47659125
Central Arizona College,Coolidge,AZ,www.centralaz.edu/,9073,Private,18831,53.96087459,1413,5593,66.57655235,7.636135223
Charles of Italy Beauty College,Lake Havasu City,AZ,www.charlesofitaly.edu/,42122,Public,34379,71.26780878,1427,2198,73.37099421,15.96609383
Cochise County Community College District,Sierra Vista,AZ,https://www.cochise.edu/,22887,Public,21568,78.80834579,1438,4867,65.3233126,0.958506583
Empire Beauty School-Chandler,Chandler,AZ,www.empire.edu/,27192,Public,33180,73.737973,1366,5048,72.63784221,20.78025307
Avalon Institute-Mesa,Mesa,AZ,avalon.edu/mesa-az/,28207,Public,9688,84.30380351,1126,1541,72.2093738,5.213414365
Eastern Arizona College,Thatcher,AZ,www.eac.edu/,19974,Private,34942,23.47544117,1053,1578,68.84220747,6.087781169
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,prescott.erau.edu/,14269,Public,21416,60.54339375,1430,973,51.75911751,4.945824726
The School of Architecture,Paradise Valley,AZ,https://tsoa.edu/,37710,Private,31055,35.42835174,907,4341,90.07841827,12.87419391
Glendale Community College,Glendale,AZ,www.gccaz.edu/,15824,Public,28415,23.1473501,1559,3753,86.11365805,3.835755266
Grand Canyon University,Phoenix,AZ,www.gcu.edu/,40189,Private,15240,33.71513968,888,713,55.8215859,18.57774748
GateWay Community College,Phoenix,AZ,www.gatewaycc.edu/,36083,Private,27668,35.68715443,1050,4836,97.18725027,6.21945684
Mesa Community College,Mesa,AZ,www.mesacc.edu/,44287,Private,14117,20.59905012,1182,2010,50.36093861,14.22722251
Mohave Community College,Kingman,AZ,https://www.mohave.edu/,28939,Public,10918,33.55502093,1056,2296,53.84296306,24.45286944
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,www.uti.edu/,29788,Public,26453,79.82677934,1545,4333,92.09919323,10.58210581
Dine College,Tsaile,AZ,https://www.dinecollege.edu/,42755,Private,9394,15.08541924,1494,4597,53.5081638,7.274807879
Northern Arizona University,Flagstaff,AZ,https://nau.edu/,22412,Private,18263,61.51692215,1052,1969,66.54796471,2.762303594
Northland Pioneer College,Holbrook,AZ,www.npc.edu/,43832,Public,2608,92.71092827,1384,4307,91.6565894,18.32581879
Phoenix College,Phoenix,AZ,www.phoenixcollege.edu/,10304,Public,4619,72.13822881,1457,2889,57.78375736,24.42990814
Pima Community College,Tucson,AZ,www.pima.edu/,27118,Private,29522,91.26551133,882,3116,80.092199,13.57126703
Pima Medical Institute-Tucson,Tucson,AZ,https://pmi.edu/,36011,Private,5880,61.85399005,1428,4801,76.41523934,8.507007197
Pima Medical Institute-Albuquerque,Albuquerque,NM,https://pmi.edu/,38205,Private,18297,58.87318876,1162,4081,58.29732323,11.5141412
Prescott College,Prescott,AZ,https://www.prescott.edu/,46022,Public,37891,94.69217968,1154,2795,81.2256762,9.796201787
Refrigeration School Inc,Phoenix,AZ,https://www.rsi.edu/,23778,Private,36248,10.44883563,1247,1028,97.3901476,3.697448561
Rio Salado College,Tempe,AZ,www.rio.maricopa.edu/,15811,Private,32321,37.49961528,1430,5726,83.74434372,1.548558328
Roberto-Venn School of Luthiery,Phoenix,AZ,www.roberto-venn.com/,44078,Private,29740,32.56635592,1549,2525,59.42355206,20.10770051
Scottsdale Community College,Scottsdale,AZ,www.scottsdalecc.edu/,42109,Public,32600,98.83619639,1080,3699,97.68896661,14.2458183
South Mountain Community College,Phoenix,AZ,www.southmountaincc.edu/,42950,Public,10914,48.32988326,968,2353,95.66995059,22.44451724
Arizona Christian University,Glendale,AZ,arizonachristian.edu/,7884,Private,1894,38.85843401,832,4687,70.8517901,14.35019991
Universal Technical Institute of Arizona Inc,Avondale,AZ,www.uti.edu/,32845,Public,4988,90.19930521,1323,3122,68.44117539,5.047822034
Yavapai College,Prescott,AZ,https://www.yc.edu/,15199,Public,18246,83.94375387,869,5435,94.75952619,12.10130686
University of Arkansas at Little Rock,Little Rock,AR,ualr.edu/www/,29546,Public,22306,6.309303199,1398,6257,86.80185444,21.64822813
University of Arkansas for Medical Sciences,Little Rock,AR,https://www.uams.edu/,26512,Public,27738,63.23419258,1373,1043,85.05983396,10.66302916
Arkansas Baptist College,Little Rock,AR,www.arkansasbaptist.edu/,5636,Private,11900,98.35009879,1427,4030,82.41151509,20.08815232
Arkansas Beauty School-Little Rock,Little Rock,AR,arbs.edu/,15581,Public,14827,49.83595138,1525,1175,63.75139355,0.615234155
Arkansas Beauty College,Russellville,AR,https://www.arkansasbeautycollege.us/,10816,Public,25160,63.63548099,967,5250,60.31716879,7.927056012
Lyon College,Batesville,AR,www.lyon.edu/,20488,Public,33445,85.90370083,1335,1545,58.08139285,12.79948893
Arkansas Technical School,North Little Rock,AR,www.arktech.edu/,24487,Private,8072,38.23978459,1254,2169,60.33519703,12.90710873
Arthur's Beauty College,Fort Smith,AR,www.arthursbeautycollege.com/,45135,Public,15549,56.06854228,1324,787,94.08012186,22.24741176
University of Arkansas,Fayetteville,AR,https://www.uark.edu/,8863,Private,5849,87.12568153,992,2428,50.6642668,21.70195179
University of Arkansas at Pine Bluff,Pine Bluff,AR,www.uapb.edu/,13624,Public,9159,86.4440802,1413,5454,66.78138512,3.467374621
Arkansas State University-Beebe,Beebe,AR,www.asub.edu/,24178,Private,5671,29.7713745,1431,6035,81.92445429,10.90132468
Arkansas State University,Jonesboro,AR,www.astate.edu/,38786,Public,21957,93.07044319,1157,2955,94.0918973,7.397889718
Arkansas Tech University,Russellville,AR,www.atu.edu/,24583,Public,7434,65.94207407,1527,5757,58.52377388,6.086441089
University of Arkansas at Monticello,Monticello,AR,www.uamont.edu/,45769,Private,28402,10.90355869,1101,440,72.96841497,6.724198395
Arthur's Beauty College,Jacksonville,AR,arthursbeautycollege.com/,5187,Public,31629,38.63211577,1347,6120,65.60404645,15.14235184
Baptist Health College Little Rock,Little Rock,AR,https://www.bhclr.edu/,31854,Private,32730,71.19468773,1592,3578,90.92083055,8.131615701
Black River Technical College,Pocahontas,AR,www.blackrivertech.edu/,32949,Private,24054,54.5851692,1537,2752,50.99931687,7.254959288
University of Central Arkansas,Conway,AR,www.uca.edu/,32871,Public,28018,38.62638825,882,1407,69.30540892,3.976651258
Central Baptist College,Conway,AR,www.cbc.edu/,41977,Private,39750,55.29904509,1046,1198,68.28506729,9.466988535
Cossatot Community College of the University of Arkansas,De Queen,AR,www.cccua.edu/,28619,Public,17042,70.92847064,806,2364,85.38980553,3.752928786
Crowley's Ridge College,Paragould,AR,www.crc.edu/,40251,Private,22548,7.714562481,984,3022,81.76558524,23.40295577
East Arkansas Community College,Forrest City,AR,https://www.eacc.edu/,26470,Private,3045,18.57974001,1307,553,75.3908378,2.748307964
Paul Mitchell the School-Little Rock,North Little Rock,AR,paulmitchell.edu/littlerock,49808,Public,4355,75.48868674,914,4285,56.07072024,0.770063855
National Park College,Hot Springs,AR,www.np.edu/,28120,Public,23697,51.57890773,877,1859,92.86184536,16.81501274
University of Arkansas Community College-Batesville,Batesville,AR,www.uaccb.edu/,23858,Private,7685,88.7471992,1496,6123,74.621938,19.36769757
Harding University,Searcy,AR,www.harding.edu/,17457,Private,11220,26.06324391,1039,3749,62.79766122,6.325855479
Henderson State University,Arkadelphia,AR,https://www.hsu.edu/,22585,Private,24583,92.38440176,1388,696,78.23773985,17.22976144
Hendrix College,Conway,AR,https://www.hendrix.edu/,31320,Public,33870,32.14407859,803,2986,61.29441673,14.10511559
Hot Springs Beauty College,Hot Springs,AR,hotspringsbeautycollege.com/,47391,Private,31227,88.71140419,1559,3724,76.6100741,9.750623239
Jefferson Regional School of Nursing,Pine Bluff,AR,www.jrmc.org/,21911,Private,1897,63.42042205,800,2571,63.59285485,11.08570962
John Brown University,Siloam Springs,AR,https://www.jbu.edu/,10603,Private,25694,30.4262714,1293,5263,92.37622315,11.62379239
Career Academy of Hair Design,Springdale,AR,www.beautynwa.com/,15209,Public,23727,18.43963796,990,5565,78.27496073,6.519245583
Academy of Salon and Spa,Fort Smith,AR,www.academysalonspa.com/,12887,Private,17934,49.39545229,988,2075,62.41289856,5.86364622
Arkansas State University Mid-South,West Memphis,AR,www.asumidsouth.edu/,37187,Public,26758,66.07418312,1508,3379,73.01359125,3.457522864
Arkansas Northeastern College,Blytheville,AR,www.anc.edu/,7182,Private,30742,73.83128572,1596,3894,67.05670365,18.33197751
New Tyler Barber College Inc,North Little Rock,AR,newtylerbarbercollege.edu/,36818,Private,14645,44.02905984,911,2916,57.432799,16.8530582
North Arkansas College,Harrison,AR,www.northark.edu/,46247,Private,10213,79.81117936,1228,3986,72.97928915,2.570184425
Northwest Technical Institute,Springdale,AR,www.nwti.edu/,21085,Private,9587,68.36955485,1003,3176,85.61560946,15.60717616
Ouachita Baptist University,Arkadelphia,AR,www.obu.edu/,22219,Private,27014,77.91453727,1498,3789,81.32516026,6.642516231
Arkansas State University Three Rivers,Malvern,AR,www.asutr.edu/,13977,Private,35637,79.80994638,1592,3183,95.34718235,21.6644134
Ozarka College,Melbourne,AR,www.ozarka.edu/,43858,Private,34293,39.2257779,1088,562,84.12688282,10.06699048
University of the Ozarks,Clarksville,AR,https://www.ozarks.edu/,45472,Public,32714,42.72021709,1558,6310,67.7025218,23.07236653
University of Arkansas Community College-Morrilton,Morrilton,AR,www.uaccm.edu/,25243,Private,4862,40.09915408,837,2531,90.52876659,5.446247896
Philander Smith College,Little Rock,AR,https://www.philander.edu/,34467,Public,10010,36.48104872,1598,236,78.96879448,11.9346978
Phillips Community College of the University of Arkansas,Helena,AR,www.pccua.edu/,41278,Public,31255,86.36573184,1169,3178,69.65647921,7.772240276
Southeast Arkansas College,Pine Bluff,AR,https://www.seark.edu/,32962,Public,23785,75.63419598,1482,5660,67.39301227,3.149601887
Professional Cosmetology Education Center,El Dorado,AR,https://www.pcec.edu/,39729,Public,21587,30.10764983,1597,5927,58.64772722,20.61433847
University of Arkansas-Pulaski Technical College,North Little Rock,AR,uaptc.edu/,26398,Private,15257,94.07677021,1456,2861,73.47526041,11.55511603
University of Arkansas Hope-Texarkana,Hope,AR,www.uaht.edu/,33369,Private,13721,68.39366037,831,3365,91.56602382,10.25594638
University of Arkansas Community College Rich Mountain,Mena,AR,www.uarichmountain.edu/,36421,Private,8856,56.85163974,1563,5832,59.33825419,2.681930939
Paul Mitchell the School-Arkansas,Fayetteville,AR,https://paulmitchell.edu/arkansas/,38772,Public,35263,49.64796492,808,459,67.29384931,17.17628267
Searcy Beauty College,Searcy,AR,searcybeautycollege.com/,16593,Public,15803,78.42041513,1434,5955,95.27246802,10.86177499
Shorter College,N Little Rock,AR,www.shortercollege.edu/,49976,Private,28101,80.47341327,1494,379,85.7661835,8.012395335
Williams Baptist University,Walnut Ridge,AR,https://williamsbaptistuniversity.com/,28117,Public,28944,74.52132952,1115,1978,74.07942164,7.381765381
South Arkansas Community College,El Dorado,AR,www.southark.edu/,43442,Private,36307,64.15503473,1269,3963,71.75104273,24.77633037
Southern Arkansas University Main Campus,Magnolia,AR,https://www.saumag.edu/,40228,Private,21263,17.29947469,1228,4818,84.4581744,13.52878488
Southern Arkansas University Tech,Camden,AR,www.sautech.edu/,47126,Public,2346,12.24124169,815,4872,66.27471941,17.47832761
Velvatex College of Beauty Culture,Little Rock,AR,www.velvatexcollege.com/,48293,Public,1076,17.92774469,1527,4779,77.08698043,23.25576839
University of Arkansas-Fort Smith,Fort Smith,AR,https://uafs.edu/,45448,Public,39493,22.461866,1400,259,97.71721808,20.32799057
Academy of Art University,San Francisco,CA,www.academyart.edu/,22382,Private,36074,64.48780109,1313,2692,89.53517948,1.54805592
Academy of Chinese Culture and Health Sciences,Oakland,CA,www.acchs.edu/,26984,Public,12842,18.41398252,1182,3787,70.67087528,22.71405397
College of Alameda,Alameda,CA,https://alameda.edu/,48296,Private,13516,97.66738292,1337,6253,66.91168656,1.245009253
Allan Hancock College,Santa Maria,CA,www.hancockcollege.edu/,16452,Private,38111,49.96123442,973,606,51.17625408,13.56263731
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,www.aada.edu/,32333,Private,14082,61.97561687,1544,2949,60.43149303,2.092717361
Berkeley School of Theology,Berkeley,CA,www.bst.edu/,35692,Private,33012,51.80408281,1206,365,96.689416,7.798556297
American Film Institute Conservatory,Los Angeles,CA,www.afi.com/,17309,Private,36171,52.63059549,1282,140,92.80532856,6.86359299
American Beauty College,West Covina,CA,https://www.americanbeautycollege.edu/,47739,Public,31217,75.16923291,1371,5274,55.88803139,7.684786781
American Career College-Los Angeles,Los Angeles,CA,https://americancareercollege.edu/,46982,Private,14667,58.06666641,956,337,93.73829303,19.66874045
American River College,Sacramento,CA,https://www.arc.losrios.edu/,25638,Private,29266,45.25605507,1050,5818,59.70381296,14.51402309
Antelope Valley Community College District,Lancaster,CA,www.avc.edu/,20212,Public,16131,57.91003448,805,6357,97.31016124,18.26955841
Art Center College of Design,Pasadena,CA,www.artcenter.edu/,22362,Public,33867,44.71540131,1546,920,50.97243521,8.227618644
Associated Technical College-Los Angeles,Los Angeles,CA,www.atcla.edu/,35545,Public,8516,30.18474998,1001,5716,52.85001729,13.09899414
Associated Technical College-San Diego,San Diego,CA,www.atcsd.edu/,39034,Private,31511,13.95072985,1271,4794,58.49235074,12.65975599
Azusa Pacific University,Azusa,CA,www.apu.edu/,19515,Private,29980,52.07946316,1405,3827,51.38180824,14.16319594
Bakersfield College,Bakersfield,CA,www.bakersfieldcollege.edu/,28384,Private,2807,77.58545127,1151,623,84.26862546,3.470462153
Barstow Community College,Barstow,CA,www.barstow.edu/,11432,Private,3209,31.13869188,1387,967,51.71888895,14.81262139
Bellus Academy-Chula Vista,Chula Vista,CA,www.bellusacademy.edu/,48792,Private,14628,95.61728056,1051,5877,73.77241745,3.393913031
Bethesda University,Anaheim,CA,www.buc.edu/,5743,Private,15451,49.38096427,1057,3189,65.88287653,19.92745468
Biola University,La Mirada,CA,https://www.biola.edu/,18663,Private,26057,74.12155241,1184,4982,95.27334266,18.39082256
Brownson Technical School,Anaheim,CA,https://brownson.edu/,14984,Private,28027,76.02838497,1203,4243,51.12508495,5.736759317
Bryan University,Tempe,AZ,bryanuniversity.edu/,18719,Private,23507,88.95359142,1564,6086,82.61651454,20.80537415
Butte College,Oroville,CA,www.butte.edu/,32262,Private,34222,26.12722251,943,2602,93.06223901,12.32922059
California Institute of Integral Studies,San Francisco,CA,www.ciis.edu/,8561,Private,15565,31.40464346,1450,5463,50.95614865,17.73992651
Cabrillo College,Aptos,CA,https://www.cabrillo.edu/,38550,Private,28359,17.05146312,1541,170,87.38554543,24.31663985
California Baptist University,Riverside,CA,www.calbaptist.edu/,45038,Private,20098,20.94493729,1146,4078,60.18287217,7.357287698
California College of the Arts,San Francisco,CA,www.cca.edu/,48612,Private,38029,95.12468856,1272,2145,91.84806173,17.65056143
University of California-Hastings College of Law,San Francisco,CA,www.uchastings.edu/,14344,Private,25294,61.00416732,1280,3767,89.86417148,19.61139072
California Institute of Technology,Pasadena,CA,www.caltech.edu/,21665,Private,36507,94.83629065,805,4259,56.33420966,21.31231551
California Lutheran University,Thousand Oaks,CA,www.callutheran.edu/,48977,Public,38596,78.87477735,863,4807,92.88060606,14.31995397
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,calpoly.edu/,42418,Public,22225,54.71369078,1580,6,50.05698285,22.47594905
Alliant International University-San Diego,San Diego,CA,https://www.alliant.edu/,41522,Public,6489,40.04385642,1357,1346,88.75390795,7.295761612
California State University-Bakersfield,Bakersfield,CA,www.csub.edu/,41766,Private,20763,43.07154702,1015,5421,58.26364721,4.744921526
California State University-Stanislaus,Turlock,CA,https://www.csustan.edu/,47062,Private,17514,79.87854621,1502,4591,71.83058442,3.53721935
California State University-San Bernardino,San Bernardino,CA,www.csusb.edu/,48701,Public,14419,87.96640579,1542,2810,91.0536514,5.982610094
California State Polytechnic University-Pomona,Pomona,CA,www.cpp.edu/,13333,Private,26131,63.32655525,1337,5096,65.57367383,24.94254688
California State University-Chico,Chico,CA,www.csuchico.edu/,41427,Private,4068,13.20747889,843,2233,90.61443957,1.757264568
California State University-Dominguez Hills,Carson,CA,https://www.csudh.edu/,29529,Private,25141,89.58334584,1131,3498,95.17061934,6.516372156
California State University-Fresno,Fresno,CA,www.fresnostate.edu/,42950,Private,21972,23.70560465,845,215,59.64149644,8.43174606
California State University-Fullerton,Fullerton,CA,www.fullerton.edu/,37351,Private,32453,46.37731194,870,1776,71.26259762,6.211037852
California State University-East Bay,Hayward,CA,www.csueastbay.edu/,27397,Private,11836,17.88157476,1085,5645,86.31900582,24.17353772
California State University-Long Beach,Long Beach,CA,www.csulb.edu/,12913,Public,6194,88.19479275,882,4784,70.33993089,19.78689096
California State University-Los Angeles,Los Angeles,CA,https://www.calstatela.edu/,15891,Public,24448,40.98244289,1092,1930,63.2466235,19.44690009
California State University-Northridge,Northridge,CA,https://www.csun.edu/,6107,Public,34018,34.07250372,1234,5596,96.68976519,22.7347178
California State University-Sacramento,Sacramento,CA,https://www.csus.edu/,44943,Public,28426,54.55622861,1160,2762,97.48317055,7.06634621
University of California-Berkeley,Berkeley,CA,www.berkeley.edu/,33699,Public,20043,20.56586233,1540,4320,54.59387316,1.870535559
University of California-Davis,Davis,CA,ucdavis.edu/,44951,Public,8225,47.66058043,1521,6285,67.27499912,15.71501595
University of California-Irvine,Irvine,CA,www.uci.edu/,21626,Private,34369,95.93285239,847,4617,90.89038045,10.88397222
University of California-Los Angeles,Los Angeles,CA,www.ucla.edu/,23348,Public,3033,21.57904775,1166,352,84.50927791,12.06278926
University of California-Riverside,Riverside,CA,www.ucr.edu/,11338,Private,25810,27.29643711,1513,6327,79.63457241,7.316445757
University of California-San Diego,La Jolla,CA,www.ucsd.edu/,19400,Public,4776,22.89473154,1054,2115,90.42314184,4.034767288
University of California-San Francisco,San Francisco,CA,ucsf.edu/,12077,Public,17631,78.83809661,1558,408,79.30743008,14.21717477
University of California-Santa Barbara,Santa Barbara,CA,www.ucsb.edu/,5882,Private,30999,20.09698375,1190,5371,63.48620728,8.404834446
University of California-Santa Cruz,Santa Cruz,CA,www.ucsc.edu/,22721,Private,11986,37.9863724,1213,2476,54.92258297,7.012040826
Sofia University,Palo Alto,CA,www.sofia.edu/,45117,Public,6081,25.7278016,1005,67,58.08002184,6.050674937
